,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gate_arg2,param_gate_fn,param_init_scale,param_n_ancilla,param_n_iters,param_n_ops,param_n_ops_score,param_n_samples,param_n_samples_score,param_n_sigmas,param_sparse,param_stepsize,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
0,13707.579548835754,0.0,72.6271333694458,0.0,2,local_gates,0.0001,0,400,1000,1000,1000,1000,3,True,0.0001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.0001}",-0.003350463671260782,-0.003350463671260782,0.0,3
1,15309.898751974106,0.0,69.29106426239014,0.0,2,local_gates,0.0001,0,400,1000,1000,1000,1000,3,True,0.001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.0001, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.001}",-0.0033550315233044593,-0.0033550315233044593,0.0,5
2,14917.194777488708,0.0,70.96487975120544,0.0,2,local_gates,0.001,0,400,1000,1000,1000,1000,3,True,0.0001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.0001}",-0.0033504184702648184,-0.0033504184702648184,0.0,2
3,13689.378003358841,0.0,74.03678774833679,0.0,2,local_gates,0.001,0,400,1000,1000,1000,1000,3,True,0.001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': 0.001, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.001}",-0.0033549274701265863,-0.0033549274701265863,0.0,4
4,14876.549154281616,0.0,75.77353286743164,0.0,2,local_gates,-1.0,0,400,1000,1000,1000,1000,3,True,0.0001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.0001}",-0.055054801463730915,-0.055054801463730915,0.0,6
5,9976.419333457947,0.0,66.72089648246765,0.0,2,local_gates,-1.0,0,400,1000,1000,1000,1000,3,True,0.001,"{'gate_arg2': 2, 'gate_fn': 'local_gates', 'init_scale': -1.0, 'n_ancilla': 0, 'n_iters': 400, 'n_ops': 1000, 'n_ops_score': 1000, 'n_samples': 1000, 'n_samples_score': 1000, 'n_sigmas': 3, 'sparse': True, 'stepsize': 0.001}",-0.0032673258631716454,-0.0032673258631716454,0.0,1
