,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_cdiv_steps,param_hidden_layers,param_learning_rate,param_max_steps,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
20,228.0047628879547,0.0,7.275903701782227,0.0,16,10,"(32, 32, 32)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.0019190279334265377,-0.0019190279334265377,0.0,7
21,174.70613265037537,0.0,7.328807830810547,0.0,16,10,"(100,)",1e-05,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.034786245280263535,-0.034786245280263535,0.0,37
22,175.31493139266968,0.0,7.2378950119018555,0.0,16,10,"(100,)",0.0001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0012842180256828865,-0.0012842180256828865,0.0,3
23,174.65773272514343,0.0,7.234864234924316,0.0,16,10,"(100,)",0.001,50000,"{'batch_size': np.int64(16), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.0025047788764686815,-0.0025047788764686815,0.0,12
24,114.92808532714844,0.0,6.150287866592407,0.0,32,1,"(16,)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.04288436860952102,-0.04288436860952102,0.0,43
25,116.45710277557373,0.0,6.207554340362549,0.0,32,1,"(16,)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.006843506376239483,-0.006843506376239483,0.0,23
26,113.83558320999146,0.0,6.25265645980835,0.0,32,1,"(16,)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.005042246398544767,-0.005042246398544767,0.0,20
27,175.40626788139343,0.0,6.349722146987915,0.0,32,1,"(16, 4, 2)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.057100970188616214,-0.057100970188616214,0.0,47
28,173.9755094051361,0.0,6.529973268508911,0.0,32,1,"(16, 4, 2)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.006460608522675281,-0.006460608522675281,0.0,22
29,173.3010437488556,0.0,6.723479509353638,0.0,32,1,"(16, 4, 2)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.004556589240760842,-0.004556589240760842,0.0,18
30,217.8940863609314,0.0,6.992663145065308,0.0,32,1,"(32, 32, 32)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.014074910485435847,-0.014074910485435847,0.0,32
31,216.7424886226654,0.0,7.148823022842407,0.0,32,1,"(32, 32, 32)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.002935785887421386,-0.002935785887421386,0.0,14
32,220.58438181877136,0.0,7.153993844985962,0.0,32,1,"(32, 32, 32)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.02341288371460837,-0.02341288371460837,0.0,34
33,149.51033926010132,0.0,8.474939107894897,0.0,32,1,"(100,)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.035743175412739726,-0.035743175412739726,0.0,38
34,146.38100051879883,0.0,8.050874710083008,0.0,32,1,"(100,)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0010444358776569053,-0.0010444358776569053,0.0,2
35,145.7540602684021,0.0,8.29969072341919,0.0,32,1,"(100,)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(1), 'hidden_layers': (100,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.02109033961373801,-0.02109033961373801,0.0,33
36,125.54158401489258,0.0,4.394580364227295,0.0,32,10,"(16,)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.037150386952877916,-0.037150386952877916,0.0,39
37,125.19469261169434,0.0,4.4775707721710205,0.0,32,10,"(16,)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0032015472215046505,-0.0032015472215046505,0.0,15
38,124.04093837738037,0.0,4.229511260986328,0.0,32,10,"(16,)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.00145117936719244,-0.00145117936719244,0.0,4
39,180.6075644493103,0.0,5.470151662826538,0.0,32,10,"(16, 4, 2)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.047312586792847534,-0.047312586792847534,0.0,44
40,178.07463693618774,0.0,5.5628087520599365,0.0,32,10,"(16, 4, 2)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0017184498471910087,-0.0017184498471910087,0.0,6
41,179.03248190879822,0.0,5.43702244758606,0.0,32,10,"(16, 4, 2)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (16, 4, 2), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.0019199522225386775,-0.0019199522225386775,0.0,8
42,195.57328009605408,0.0,6.6116132736206055,0.0,32,10,"(32, 32, 32)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.0021075341007206656,-0.0021075341007206656,0.0,9
43,195.1986255645752,0.0,6.546649932861328,0.0,32,10,"(32, 32, 32)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0016216522551725544,-0.0016216522551725544,0.0,5
44,195.62490916252136,0.0,6.600494861602783,0.0,32,10,"(32, 32, 32)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (32, 32, 32), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.006016406053822514,-0.006016406053822514,0.0,21
45,134.99782371520996,0.0,6.268393278121948,0.0,32,10,"(100,)",1e-05,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(1e-05), 'max_steps': np.int64(50000)}",-0.031359458412911725,-0.031359458412911725,0.0,36
46,134.20419239997864,0.0,6.302967548370361,0.0,32,10,"(100,)",0.0001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(0.0001), 'max_steps': np.int64(50000)}",-0.0008818145883404752,-0.0008818145883404752,0.0,1
47,134.05554795265198,0.0,6.169836759567261,0.0,32,10,"(100,)",0.001,50000,"{'batch_size': np.int64(32), 'cdiv_steps': np.int64(10), 'hidden_layers': (100,), 'learning_rate': np.float64(0.001), 'max_steps': np.int64(50000)}",-0.0034923182240659788,-0.0034923182240659788,0.0,16
